id,onet_code,job_title,sector,12th_stream,primary_riasec,secondary_riasec,core_skills,cached_at
671,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",Education,Arts,S,I,"Instructing, Learning Strategies, Speaking, Active Listening, Reading Comprehension, Writing",2026-03-22 08:14:12.889095+00
672,29-1218.00,Obstetricians and Gynecologists,Healthcare,Science,I,S,"Critical Thinking, Reading Comprehension, Active Learning, Active Listening, Complex Problem Solving, Judgment and Decision Making",2026-03-22 08:14:13.555188+00
673,19-5011.00,Occupational Health and Safety Specialists,Research & Science,Science,I,C,"Active Listening, Reading Comprehension, Speaking, Writing, Complex Problem Solving, Critical Thinking",2026-03-22 08:14:14.149062+00
674,19-5012.00,Occupational Health and Safety Technicians,Research & Science,Science,C,R,"Active Listening, Critical Thinking, Reading Comprehension, Speaking, Writing, Complex Problem Solving",2026-03-22 08:14:14.739188+00
675,29-1122.00,Occupational Therapists,Healthcare,Science,S,I,"Active Listening, Monitoring, Service Orientation, Critical Thinking, Instructing, Judgment and Decision Making",2026-03-22 08:14:15.340677+00
676,31-2012.00,Occupational Therapy Aides,Healthcare,Science,S,R,"Service Orientation, Social Perceptiveness, Speaking, Active Listening, Coordination, Critical Thinking",2026-03-22 08:14:15.934591+00
677,31-2011.00,Occupational Therapy Assistants,Healthcare,Science,S,C,"Active Listening, Service Orientation, Social Perceptiveness, Speaking, Reading Comprehension, Time Management",2026-03-22 08:14:16.541158+00
678,43-9199.00,"Office and Administrative Support Workers, All Other",Administration,Commerce,R,I,,2026-03-22 08:14:17.143407+00
679,43-9061.00,"Office Clerks, General",Administration,Commerce,C,I,"Active Listening, Reading Comprehension, Speaking, Writing, Coordination, Critical Thinking",2026-03-22 08:14:17.743204+00
680,43-9071.00,"Office Machine Operators, Except Computer",Administration,Commerce,C,R,"Operation and Control, Operations Monitoring, Reading Comprehension, Active Listening, Critical Thinking, Judgment and Decision Making",2026-03-22 08:14:18.33117+00
681,13-1199.06,Online Merchants,Finance,Commerce,C,E,"Reading Comprehension, Active Listening, Critical Thinking, Speaking, Persuasion, Service Orientation",2026-03-22 08:14:18.955271+00
